Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1382019393, 725#1382019196, 8 Gregersen, null, 8 Gr,8,5,13,0.433,2,12,0.4,1,1,0.033,1,0.9230769,0.5,12,0,0,3,0.1,1,0.033,107.289,3.576,47.853,1.595,155.142,5.171,7.052,0.692,8.253,6.464,155.14,13,3.988,1,29,30,6,-1,-1,-2,0.033,0.967,22,35,0.386,0.614,0.141,0,0,0,1,14,1.5714285,0.029,0.971,0,131.469,0.122,0.878,0.12,0.88
1382019408, 725#1382019196, 11 Lance, null, 11 L,11,5,47,0.94,8,45,0.9,8,2,0.04,0,0.9574468,1,37,1,0.02,10,0.2,2,0.04,697.151,13.943,133.354,2.667,830.505,16.61,19.774,0.839,14.833,10.128,415.25,24,3.604,13,37,50,10,9,1,10,0.26,0.74,42,45,0.483,0.517,0.177,4,1,5,1,30,1.4,0.044,0.956,0.111,172.627,0.108,0.892,0.162,0.838
1382019427, 725#1382019196, 12 Morrissy, null, 12 M,12,5,5,0.143,2,4,0.114,1,1,0.029,1,0.8,0.5,6,1,0.029,1,0.029,2,0.057,11.297,0.323,134.823,3.852,146.12,4.175,7.306,0.077,2.259,14.612,146.12,6,22.47,2,33,35,7,0,-13,-13,0.057,0.943,20,42,0.323,0.677,0.091,1,0,1,1,10,2,0.048,0.952,0.024,167.44,0.103,0.897,0.132,0.868
1382019441, 725#1382019196, 13 Zemel, null, 13 Z,13,5,11,0.379,1,10,0.345,1,1,0.034,0,0.90909094,1,8,1,0.034,4,0.138,1,0.034,87.737,3.025,62.985,2.172,150.722,5.197,6.851,0.582,7.976,8.373,150.72,12,7.873,1,28,29,5.8,-1,4,3,0.034,0.966,22,34,0.393,0.607,0.093,0,0,0,0,16,1.375,0.029,0.971,0,45.474,0.045,0.955,0.099,0.901
1382019464, 725#1382019196, 14 Forshee, null, 14 F,14,5,25,0.61,4,24,0.585,3,1,0.024,1,0.96,0.75,27,3,0.073,4,0.098,1,0.024,191.841,4.679,163.501,3.988,355.342,8.667,8.076,0.54,7.674,6.967,355.34,28,6.056,26,15,41,8.2,14,-1,13,0.634,0.366,44,34,0.564,0.436,0.109,0,1,1,2,27,1.6296296,0.029,0.971,0.029,110.448,0.132,0.868,0.134,0.866
1382019486, 725#1382019196, 15 Bechis, null, 15 B,15,5,4,0.154,0,3,0.115,0,1,0.038,0,0.75,0,5,1,0.038,1,0.038,3,0.115,31.876,1.226,53.209,2.046,85.085,3.272,3.699,0.375,7.969,10.636,85.08,5,10.642,1,25,26,5.2,-1,-1,-2,0.038,0.962,23,36,0.39,0.61,0.037,4,0,4,2,12,1.9166666,0.083,0.917,0.111,182.962,0.171,0.829,0.135,0.865
1382019501, 725#1382019196, 16 Farrell, null, 16 F,16,5,34,0.85,0,32,0.8,0,2,0.05,0,0.9411765,0,24,2,0.05,0,0,2,0.05,167.466,4.187,135.694,3.392,303.16,7.579,7.579,0.552,4.925,5.414,151.58,18,5.654,19,21,40,8,15,-3,12,0.475,0.525,40,33,0.548,0.452,0.118,3,0,3,1,26,1.5384616,0.061,0.939,0.091,91.923,0.118,0.882,0.161,0.839
1382019520, 725#1382019196, 18 Sun, null, 18 S,18,4,2,0.143,0,2,0.143,0,0,0,0,1,0,3,1,0.071,1,0.071,1,0.071,12.194,0.871,53.443,3.817,65.637,4.688,5.47,0.186,6.097,13.127,0,0,17.814,0,14,14,3.5,0,-2,-2,0,1,12,20,0.375,0.625,0.051,0,0,0,0,6,2,0.05,0.95,0,66.547,0.135,0.865,0.167,0.833
1382019600, 725#1382019196, 20 Ackley, null, 20 A,20,5,95,1.979,5,88,1.833,3,7,0.146,2,0.9263158,0.6,87,2,0.042,9,0.188,1,0.021,764.634,15.93,130.923,2.728,895.557,18.657,16.283,0.854,8.049,5.117,127.94,13.86,1.505,47,1,48,9.6,33,-1,32,0.979,0.021,55,22,0.714,0.286,0.248,0,0,0,0,38,1.4473684,0.045,0.955,0,56.628,0.126,0.874,0.129,0.871
1382019616, 725#1382019196, 21 Padget, null, 21 P,21,5,19,0.613,1,17,0.548,1,2,0.065,0,0.8947368,1,17,2,0.065,0,0,3,0.097,66.885,2.158,47.853,1.544,114.738,3.701,4.25,0.583,3.52,3.375,57.37,10.5,2.815,1,30,31,6.2,-1,-2,-3,0.032,0.968,27,43,0.386,0.614,0.144,0,0,0,2,14,1.9285715,0.07,0.93,0,203.216,0.19,0.81,0.153,0.847
