Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1381977774, 724#1381977598, 05_KamiG, null, 05_K,5,6,30,0.429,3,30,0.429,3,0,0,0,1,1,37,9,0.129,4,0.057,4,0.057,283.556,4.051,667.706,9.539,951.262,13.589,15.099,0.298,9.452,14.198,0,0,18.046,13,57,70,11.667,11,-19,-8,0.186,0.814,63,83,0.432,0.568,0.123,3,2,5,3,33,1.9090909,0.048,0.952,0.06,421.096,0.139,0.861,0.111,0.889
1381977842, 724#1381977598, 06_LindseyH, null, 06_L,6,6,35,0.7,3,33,0.66,1,2,0.04,2,0.94285715,0.33333334,28,0,0,5,0.1,5,0.1,185.172,3.703,39.26,0.785,224.432,4.489,5.906,0.825,5.291,3.679,112.22,17.5,1.402,0,50,50,8.333,0,-22,-22,0,1,38,68,0.358,0.642,0.167,0,0,0,6,16,2.375,0.074,0.926,0,345.189,0.132,0.868,0.189,0.811
1381977931, 724#1381977598, 07_ChristineD, null, 07_C,7,6,46,0.697,4,44,0.667,4,2,0.03,0,0.95652175,1,58,10,0.152,8,0.121,1,0.015,217.347,3.293,809.679,12.268,1027.026,15.561,11.286,0.212,4.725,10.069,513.51,28,13.96,58,8,66,11,28,-4,24,0.879,0.121,91,54,0.628,0.372,0.1,1,0,1,2,45,2.0222223,0.019,0.981,0.019,80.171,0.064,0.936,0.144,0.856
1381978006, 724#1381977598, 10_KatieDO, null, 10_K,10,6,29,0.592,1,26,0.531,1,3,0.061,0,0.8965517,1,31,3,0.061,3,0.061,2,0.041,195.936,3.999,327.886,6.692,523.822,10.69,6.892,0.374,6.756,9.19,174.61,10.67,10.577,48,1,49,8.167,18,-1,17,0.98,0.02,76,44,0.633,0.367,0.063,2,0,2,2,33,2.3030303,0.045,0.955,0.045,134.446,0.145,0.855,0.153,0.847
1381978031, 724#1381977598, 13_PhoebeS, null, 13_P,13,3,8,0.889,2,8,0.889,2,0,0,0,1,1,5,0,0,1,0.111,2,0.222,137.176,15.242,25.207,2.801,162.383,18.043,14.762,0.845,17.147,12.491,0,0,5.041,0,9,9,3,0,-1,-1,0,1,11,16,0.407,0.593,0.098,1,0,1,0,4,2.75,0.125,0.875,0.062,133.367,0.267,0.733,0.173,0.827
1381978078, 724#1381977598, 15_MargalitG, null, 15_M,15,6,16,0.444,0,14,0.389,0,2,0.056,0,0.875,0,18,2,0.056,0,0,3,0.083,-1.898,-0.053,271.115,7.531,269.217,7.478,4.807,-0.007,-0.119,8.413,134.61,9,15.062,34,2,36,6,12,0,12,0.944,0.056,56,34,0.622,0.378,0.047,1,0,1,1,24,2.3333333,0.088,0.912,0.029,147.069,0.219,0.781,0.224,0.776
1381978104, 724#1381977598, 18_MarisaM, null, 18_M,18,6,141,2.104,9,129,1.925,7,12,0.179,2,0.9148936,0.7777778,106,3,0.045,7,0.104,2,0.03,994.825,14.848,102.544,1.531,1097.369,16.379,11.198,0.907,7.055,4.67,91.45,12,0.967,61,6,67,11.167,31,-6,25,0.91,0.09,98,58,0.628,0.372,0.162,1,0,1,1,46,2.1304348,0.034,0.966,0.017,128.193,0.105,0.895,0.168,0.832
1381978131, 724#1381977598, 20_EmiliaG, null, 20_E,20,6,13,0.619,1,9,0.429,1,4,0.19,0,0.6923077,1,11,0,0,1,0.048,3,0.143,38.298,1.824,172.536,8.216,210.834,10.04,10.542,0.182,2.946,10.542,52.71,3.25,15.685,0,21,21,3.5,0,-11,-11,0,1,20,34,0.37,0.63,0.141,0,0,0,0,6,3.3333333,0.088,0.912,0,170.482,0.132,0.868,0.12,0.88
1381978158, 724#1381977598, 21_KellyJ, null, 21_K,21,6,80,1.096,9,72,0.986,6,8,0.11,3,0.9,0.6666667,59,1,0.014,6,0.082,7,0.096,763.269,10.456,281.606,3.858,1044.875,14.313,14.927,0.73,9.541,7.976,130.61,10.12,4.773,16,57,73,12.167,14,-23,-9,0.219,0.781,70,89,0.44,0.56,0.171,4,0,4,3,34,2.0588236,0.079,0.921,0.045,763.425,0.241,0.759,0.171,0.829
1381978181, 724#1381977598, 22_PaulaS, null, 22_P,22,6,143,2.167,6,136,2.061,4,7,0.106,2,0.951049,0.6666667,134,6,0.091,10,0.152,3,0.045,1013.597,15.358,421.876,6.392,1435.473,21.75,15.11,0.706,7.088,5.317,205.07,21.29,3.148,60,6,66,11,30,-4,26,0.909,0.091,95,55,0.633,0.367,0.218,2,0,2,1,46,2.0652175,0.055,0.945,0.036,237.796,0.196,0.804,0.163,0.837
